no_surat,konten,isi_surat,jenis
563,hide," melaksanakan kerja praktik di pt. pertamina hulu mahakam dari 1 maret 2023 s.d 31
mei 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa
tersebut.
",bukan keduanya
564,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing utama skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 4 april 2023.
",bukan keduanya
565,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir i program sarjana program
studi ilmu aktuaria yang dilaksanakan di ruang sidang departemen matematika lantai 1 pada tanggal
10 april 2023.
",bukan keduanya
566,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelatihan strategi lolos hibah penelitian vokasi dan dikti drpm yang
dilaksanakan secara daring menggunakan aplikasi zoom meeting di laboratorium instrumentasi dasar
dike, fmipa ugm pada tanggal 10 januari 2023 s.d. 12 januari 2023.
kegiatan pelatihan strategi lolos hibah penelitian vokasi dan dikti drpm  diselenggarakan oleh  pt.
ebiz prima nusa.
",penelitian
567,hide," melaksanakan kerja praktik di pt asuransi sinar mas cabang yogyakarta dari 6 maret
2023 s.d 31 maret 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin
bagi mahasiswa tersebut.
",bukan keduanya
568,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan fieldtrip geologi dasar yang dilaksanakan di girimulyo, nanggulan dan
sekitarnya pada tanggal 18 maret 2023.
",bukan keduanya
569,hide,,bukan keduanya
570,hide,,bukan keduanya
571,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai laboran yang bertugas menerima atau mendampingi kunjungan
mahasiswa dari univesiti sains malaysia (usm) yang dilaksanakan di laboratorium departemen kimia
fmipa ugm pada tanggal 7 maret 2023.
",bukan keduanya
572,hide," melaksanakan kerja praktik di pt. ions international education dari 3 april 2023 s.d 13
mei 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa
tersebut.
",bukan keduanya
573,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi statistika yang dilaksanakan di ruang sidang i departemen matematika lantai 3 pada tanggal 6
april 2023.
",bukan keduanya
574,hide,"memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan Kunjungan ke Balai Konservasi Borobudur Magelang, Jawa Tengah
yang dilaksanakan di Balai Konservasi Borobudur Magelang, Jawa Tengah pada tanggal 4 Mei 2023.
Kunjungan dimaksudkan untuk observasi  koleksi Glass Slide di Balai Konservasi Borobudur untuk
persiapan proyek penelitian kerjasama Austria-UGM-ISI yang akan dilaksakan pada  6th-27th November
2023 dibawah kerjasama dengan the ASEA Uninet Project dengan judul: ""Glass slides and other
archival material about the conservation of UNESCO world heriateg Temple Borobudur""",penelitian
575,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pilot training drone (pelatihan operator/pilot drone ) yang dilaksanakan
di frogs indonesia jl. tarudan no.5 km.8,6 bangunharjo, daerah istimewa yoyakarta 55188 pada
tanggal 6 februari 2023.
",bukan keduanya
576,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi statistika yang dilaksanakan di ruang sidang iii departemen matematika lantai 3 pada tanggal
12 april 2023.
",bukan keduanya
577,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan staff pendukung persiapan dan pelaksanaan ujian komprehensif
mahasiswa program doktor kimia yang dilaksanakan pada tanggal 9 februari 2023 s.d. 10 februari
2023.
",bukan keduanya
578,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai asesor lbkd semester ganjil t.a. 2022/2023 bagi dosen
unugha dengan bidang ilmu fisika a.n. ninik agustin, m.sc. yang dilaksanakan di fakultas
matematika dan ilmu komputer, universitas nahdlatul ulama al ghazali (unugha).
",bukan keduanya
579,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai dosen pembimbing utama, pembimbing pendamping, ketua
penguji, dan anggota penguji skripsi/tugas akhir bagi mahasiswa program studi sarjana geofisika
departemen fisika fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada yang
diselenggarakan pada bulan april 2023.
",bukan keduanya
580,hide," melaksanakan kerja praktik di otoritas jasa keuangan solo dari 3 juli 2023 s.d 4 agustus
2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa
tersebut.
",bukan keduanya
581,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir ii program sarjana program
studi matematika yang dilaksanakan di ruang sidang iii departemen matematika lt. 3 pada tanggal 4
april 2023.
",bukan keduanya
582,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan indonesia international education training expo 2020 (iiete) ke 31
yang dilaksanakan di hall b, jakarta convention center (jcc) jakarta pada tanggal 16 februari 2023
s.d. 19 februari 2023.
",bukan keduanya
583,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai narasumber lokakarya kurikulum oleh program studi magister
kimia fmipa universitas sebelas maret yang dilaksanakan di ruang giripurna, uns inn, universitas
sebelas maret pada tanggal 16 februari 2023.
",bukan keduanya
584,hide," melaksanakan kerja praktik di pt. geo dipa energi dari 6 mei 2023 s.d 9 juni 2023.
maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa tersebut.
",bukan keduanya
585,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai tim task force sar asiin program studi doktor ilmu
komputer tahun 2023 yang dilaksanakan di program studi doktor ilmu komputer dike fmipa ugm
pada tanggal 1 april 2023 s.d. 30 september 2023.
",bukan keduanya
586,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai anggota penguji skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 4 april 2023.
",bukan keduanya
587,hide,,bukan keduanya
588,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan rpkps program studi magister kecerdasan artifisial
semester genap 2022-2023 yang dilaksanakan di program studi magister kecerdasan artifisial
departemen ike fmipa ugm.
",bukan keduanya
589,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop metode pembelajaran kurikulum baru program studi sarjana
elektronika dan instrumentasi dike yang dilaksanakan di hotel tentrem yogyakarta, jl. p.
mangkubumi no.72a yogyakarta pada tanggal 6 april 2023.
",bukan keduanya
590,hide,,bukan keduanya
591,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji ujian skripsi/tugas akhir i program sarjana program
studi matematika yang dilaksanakan di ruang sidang ii departemen matematika lt. 3 fmipa ugm
pada tanggal 9 maret 2023.
",bukan keduanya
592,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penjaga stand pameran pada indonesia international education
training expo (iete) 2023 yang dilaksanakan di jakarta convention center pada tanggal 15 februari
2023 s.d. 19 februari 2023.
",bukan keduanya
593,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop asisten eksperimen fisika inti yang dilaksanakan di
laboratorium fisika atom & inti, departemen fisika, fmipa ugm pada tanggal 25 maret 2023.
",bukan keduanya
594,hide," melaksanakan kerja praktik di pt. kimia farma plant semarang dari 3 juli 2023 s.d 4
agustus 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi
mahasiswa tersebut.
",bukan keduanya
595,hide," melaksanakan kerja praktik di pt indolakto dari 1 maret 2023 s.d 31 mei 2023.
maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa tersebut.
",bukan keduanya
596,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai penguji proposal tesis dan ujian tesis program magister kimia
semester genap tahun akademik 2022/2023 pada tanggal 1 februari 2023 s.d. 31 juli 2023.
",bukan keduanya
597,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing / penguji skripsi bagi mahasiswa kelas reguler,
semester genap t.a 2022/2023 program studi sarjana elektronika dan instrumentasi, departemen ilmu
komputer dan elektronika, fakultas matematika dan ilmu pengetahuan alam, universitas gadjah mada
pada tanggal 12 april 2023.
",bukan keduanya
598,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan materi sosialisasi olimpiade sains nasional tingkat
kabupaten/kota (osn-k) tahun 2023 yang dilaksanakan di hotel arch bogor, jl. raya pajajaran
no.225, rt.02/rw.11, bantarjati, kec. bogor utara, kota bogor, jawa barat 16153 pada tanggal 16
maret 2023 s.d. 19 maret 2023.
kegiatan ini dilaksanakan oleh balai pengembangan talenta indonesia, pusat prestasi nasional,
sekretariat jenderal kementerian pendidikan, kebudayaan, riset, dan teknologi sesuai dengan surat
undangan no. 0444/j7.1/pn.01/2023 tanggal 14 maret 2023.
",bukan keduanya
599,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelaksanaan ujian tengah semester (uts) semester ii tahun
akademik 2022/2023 program studi magister matematika yang dilaksanakan di gedung s2/s3 fmipa
ugm lt. 3 pada tanggal 3 april 2023 s.d. 14 april 2023.
",bukan keduanya
600,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan tes wawancara bagi calon mahasiswa baru prodi magister fisika
gelombang i semester gasal 2023/2024 yang dilaksanakan di departemen fisika fakultas mipa
universitas gadjah mada pada tanggal 2 mei 2023.
",bukan keduanya
601,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sharing knowledge prta brin dengan tema ?dasar-dasar rf cavity
dan waveguide?. yang dilaksanakan di ruang baiquni gedung 01 lt. 02 kse achmad baiquni, pusat
riset teknologi akselerator ? badan riset inovasi nasional, yogyakarta pada tanggal 21 maret 2023.
",bukan keduanya
602,hide," melaksanakan kerja praktik di nano center indonesia dari 3 april 2023 s.d 26 mei 2023.
maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa tersebut.
",bukan keduanya
603,hide,,bukan keduanya
604,hide," melaksanakan kerja praktik di pabrik anoda carbon pt. inalun dari 26 juni 2023 s.d 31
juli 2023. maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa
tersebut.
",bukan keduanya
605,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pada tanggal 18 maret 2023.
seminar ini diselenggarakan oleh impunan mahasiswa kimia fmipa uny
",bukan keduanya
606,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing / penguji proposal bagi mahasiswa kelas reguler,
semester genap t.a 2022/2023 program studi sarjana elektronika dan instrumentasi, departemen ilmu
komputer dan elektronika, fakultas matematika dan ilmu pengetahuan alam, universitas gadjah mada
pada tanggal 13 april 2023.
",bukan keduanya
607,hide," melaksanakan praktik kerja lapangan di pt. pertamina hulu kalimantan timur (phkt)
dari 1 maret 2023 sampai dengan 31 mei 2023. maka dengan ini kami mohon bantuan saudara
berkenan memberikan izin bagi mahasiswa tersebut.
",bukan keduanya
608,hide," melaksanakan kerja praktik di pusat studi energi dari 1 maret 2023 s.d 28 april 2023.
maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa tersebut.
",bukan keduanya
609,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan ujian tugas akhir/skripsi prodi geofisika yang dilaksanakan di ruang
sidang prodi geofisika, departemen fisika, fakultas mipa ugm pada tanggal 15 maret 2023 s.d. 30
april 2023.
",bukan keduanya
610,hide," melaksanakan kerja praktik di pertamina hulu rokan dari 1 juni 2023 s.d 30 juni 2023.
maka dengan ini kami mohon bantuan saudara berkenan memberikan izin bagi mahasiswa tersebut.
",bukan keduanya
611,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai pembimbing dan penguji mahasiswa program studi kimia
periode ujian bulan mei 2023 yang dilaksanakan di departemen kimia fmipa ugm pada tanggal 5
mei 2023 s.d. 19 mei 2023.
",bukan keduanya
612,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop finishing dokumen instrumen suplemen konversi (isk)
prodi doktor fisika, departemen fisika fakultas mipa universitas gadjah mada yang dilaksanakan di
hotel tentrem yogyakarta, jl. p. mangkubumi no.72a, cokrodiningratan, kec. jetis, kota yogyakarta,
daerah istimewa yogyakarta 55233 pada tanggal 21 maret 2023.
",bukan keduanya
613,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan piket pada kelas khusus/minat manajemen informasi program studi
magister ilmu komputer dan elektronika departemen ilmu komputer dan elektronika fakultas mipa
ugm setiap jumat malam dan sabtu pada semester gasal tahun akademik 2022/2023 yang
dilaksanakan di departemen ilmu komputer dan elektronika fakultas mipa ugm pada tanggal 1 juni
2022 s.d. 31 agustus 2022.
",bukan keduanya
614,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kompetisi kontes mobil hemat energi 2022 surabaya yang
dilaksanakan di sirkuit gelora bung tomo, surabaya pada tanggal 30 oktober 2022 s.d. 4 november
2022.
keikutsertaan dari mahasiswa fmipa diwakili oleh mahasiswa s1 elins
",bukan keduanya
615,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan international conference on mathematical analysis and its application
(iconmaa) 2022 yang dilaksanakan di hotel grandhika setiabudi medan, jl. dr. mansyur no. 169, tj.
rejo, kec. medan sunggal, kota medan, sumatera utara pada tanggal 12 oktober 2022 s.d. 17 oktober
2022.
",bukan keduanya
616,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran ujian profesi aktuaris
asai
",bukan keduanya
617,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan university fair 2022 yang dilaksanakan di sis semarang campus,
assembly hall, jl. bukit candi golf no. 20, graha candi golf residence 50724, semarang, indonesia
pada tanggal 10 november 2022 s.d. 11 november 2022.
",bukan keduanya
618,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop efisiensi kinerja tendik departemen matematika yang
dilaksanakan di giri wanara wonosari, gunung kidul pada tanggal 3 desember 2022 s.d. 4 desember
2022.
",bukan keduanya
619,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan praktikum laboratorium fisika dasar semester gasal ta 2022/2023
yang dilaksanakan di laboratorium fisika dasar departemen fisika fakultas mipa ugm pada tanggal
8 agustus 2022 s.d. 2 desember 2022.
",bukan keduanya
620,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi beasiswa lpdp.
",bukan keduanya
621,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan fgd peningkatan kapasitas tenaga kependidikan departemen kimia
fakultas mipa ugm yang dilaksanakan di queen of the south resort, yogyakarta pada tanggal 8
oktober 2022.
",bukan keduanya
622,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penelitian pemetaan intensitas gempabumi dalam program tanggap
darurat bencana gempabumi fmipa yang dilaksanakan di cianjur, jawa barat pada tanggal 23
november 2022 s.d. 29 november 2022.
",bukan keduanya
623,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop kuriulum pada program studi informatika medis program
sarjana fakultas keperawatan, bisnis dan teknologi universitas widya husada semarang yang
dilaksanakan di ruang rapat d.2.3 universitas widya husada semarang pada tanggal 2 november
2022.
",bukan keduanya
624,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi mendaftar ujian a10 pai
(persatuan aktuaris indonesia).
",bukan keduanya
625,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing yang dilaksanakan pada tanggal 2 desember 2.
",bukan keduanya
626,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari sman 3 depok, jawa barat yang
dilaksanakan di auditorium lt. 7 fakultas mipa ugm pada tanggal 7 desember 2022.
",bukan keduanya
627,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan dan pengembangan prototipe soal seleksi nasional
berdasarkan tes tahun 2023 yang dilaksanakan di ayana midplaza jakarta, jl. jenderal sudirman
kav.10-11 kecamatan tanah abang kota jakarta pusat pada tanggal 23 september 2022 s.d. 25
september 2022.
",bukan keduanya
628,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan test(tolong abaikan) yang dilaksanakan pada tanggal 2 desember 2.
",pengabdian masyarakat
629,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan testing yang dilaksanakan di fakultas mipa pada tanggal 30 september
2022, 3 oktober 2022, 7 oktober 2022, 10 oktober 2022, 13 oktober 2022, dan 25 oktober 2022.
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja testing saja testing saja testing saja testing saja
testing saja testing saja testing saja testing saja.
",bukan keduanya
630,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penyusunan portofolio matakuliah program studi sarjana ilmu
komputer kelas internasional (iup) semester gasal 2022/2023 yang dilaksanakan di program studi
sarjana ilmu komputer kelas internasional (iup) dike fmipa ugm.
",bukan keduanya
631,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop finalisasi pengisian komponen pak dosen departemen ilmu
komputer dan elektronika yang dilaksanakan di grand keisha yogyakarta pada tanggal 10 april 2023.
",bukan keduanya
632,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan inisiasi kerjasama dan diskusi pembentukan pusat kolaborasi riset
(pkr) yang dilaksanakan di pusat riset material maju, badan riset dan inovasi nasional pada tanggal
29 november 2022.
",bukan keduanya
633,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan a yang dilaksanakan di b pada tanggal 9 november 2022.
",bukan keduanya
634,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sosialisasi dan promosi program studi pascasarjana departemen ilmu
komputer dan elektronika fakultas mipa universitas gadjah mada yang dilaksanakan di jurusan
informatika fakultas teknik universitas tanjungpura, pontianak, kalimantan barat pada tanggal 17
september 2022.
",bukan keduanya
635,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan inisiasi kerja sama dalam bidang pendidikan dan penelitian antara
fakultas mipa ugm dengan i-shou university (isu), kaohsiung, taiwan yang dilaksanakan di i-shou
university (isu), kaohsiung, taiwan pada tanggal 14 desember 2022 s.d. 18 desember 2022.
",penelitian
636,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pengawas ujian seleksi tertulis gelombang 1 semester genap ta.
2022/2023 magister kecerdasan artifisial (mka) yang dilaksanakan di prodi magister kecerdasan
artifisial pada tanggal 18 november 2022.
",bukan keduanya
637,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan takziah mewakili pimpinan dekanat atas meninggalnya bapak rokhmadi
bin darmo wijoyo peneliti madya pada pusat riset teknologi reaktor nuklir - ortn brin kst
serpong sekaligus merupakan ketua alumni fakultas mipa ugm yang dilaksanakan di komplek
perumahan batan indah blok c - 16. rt. 20/004, serpong, tengerang pada tanggal 18 november 2022
s.d. 19 november 2022.
",bukan keduanya
638,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan finalisasi laporan akhir matching fund 2022 yang dilaksanakan di
solopada tanggal 28 november 2022 s.d. 29 november 2022.
",bukan keduanya
639,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan lokakarya peninjauan kurikulum yang dilaksanakan secara
daring/online pada tanggal 10 oktober 2022.
kegiatan lokakarya peninjauan kurikulum diselenggarakan oleh program studi magister matematika
jurusan matematika fakultas mipa universitas lampung
",bukan keduanya
640,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan pelaksanaan teknik laboratorium program studi magister kimia
departemen kimia fakultas mipa ugm sebagai asisten teknik laboratorium semester gasal tahun
akademik 2022/2023 yang dilaksanakan di fakultas mipa ugm pada tanggal 1 agustus 2022 s.d. 31
januari 2023.
",bukan keduanya
641,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan penampilan produk lomba konversi motor bbm menjadi motor listrik
pada pln electrifying g20 yang dilaksanakan di bali pada tanggal 30 oktober 2022 s.d. 2 november
2022.
",bukan keduanya
642,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan mengantar panitia fgd peningkatan kapasitas tenaga kependidikan
departemen kimia fmipa ugm dengan menggunakan mobil dinas fakultas mipa ugm (innova),
yang dilaksanakan di queen of the south resort, yogyakarta pada tanggal 8 oktober 2022.
",bukan keduanya
643,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi pendaftaran ujian sertifikasi
persatuan aktuaris indonesia
",bukan keduanya
644,hide," aktif terdaftar sebagai mahasiswa pada semester genap tahun akademik 2022/2023 di
fakultas matematika dan ilmu pengetahuan alam universitas gadjah mada.
surat keterangan ini akan digunakan untuk kelengkapan administrasi tunjangan gaji orang tua
",bukan keduanya
645,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan fgd prodi magister fisika itera yang dilaksanakan di aula gedung c
kampus itera pada tanggal 20 maret 2023.
",bukan keduanya
646,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai peserta workshop finalisasi buku pedoman skripsi yang
dilaksanakan di grand keisha hotel pada tanggal 13 april 2023.
",bukan keduanya
647,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai anggota penguji skripsi yang dilaksanakan di departemen
fisika fmipa universitas gadjah mada pada tanggal 27 maret 2023.
",bukan keduanya
648,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan koordinasi program kolaborasi matching fund di pt. bukit warna
abadi yang dilaksanakan di pt. bukit warna abadi, ruko sentra niaga blok sn 6-7 no. 3 pusaka
rakyat, taruma jaya, bekasipada tanggal 28 november 2022 s.d. 29 november 2022.
",bukan keduanya
649,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kunjungan departemen fisika dalam rangka inisiasi kerjasama bidang
penelitian dan pelaksanaan program degree by research (s2/s3 by research) yang dilaksanakan di
jakarta pada tanggal 6 desember 2022.
",penelitian
650,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan inisiasi kerja sama antara fakultas mipa ugm dengan departement of
computer information and network engineering, lunghwa university of science and technology
dalam bidang pendidikan dan penelitian yang dilaksanakan di lunghwa university of science and
technology pada tanggal 9 desember 2022 s.d. 18 desember 2022.
",penelitian
651,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan internasionalisasi pembelajaran melalui inovasi
team teaching pada matakuliah nanomaterial (mkk-3855) yang dilaksanakan
secara yogyakarta (kelas daring melalui zoom) pada tanggal 25 november 2022, dan 2 desember
2022.
",bukan keduanya
652,hide," memberikan tugas kepada dosen/tendik (daftar terlampir) pada kegiatan
pengabdian kepada masyarakat guru tik sma yang dilaksanakan di mgmp tik provinsi
pontianak pada tanggal 14 september 2022 s.d. 15 september 2022.
",pengabdian masyarakat
653,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan sebagai petugas pengawas ujian akhir semester gasal 2022-2023
program studi magister kecerdasan artifisial yang dilaksanakan di program studi magister kecerdasan
artifisial dike fmipa ugm pada tanggal 8 desember 2022 s.d. 14 desember 2022.
",bukan keduanya
654,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan menerima kunjungan dari ma al hikmah 2 cirebon dan sman 2
wonosari yang dilaksanakan di auditorium lt. 1 fmipa ugm pada tanggal 9 november 2022.
",bukan keduanya
655,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan strengthening the foundation of ai education and research in indonesia
yang dilaksanakan di century park hotel jakarta, jalan pintu satu senayan, jakarta pada tanggal 17
oktober 2022.
",bukan keduanya
656,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan workshop evaluasi pelaksanaan mbkm prodi kimia dan kedai reka
pewarna alami makanan yang dilaksanakan di aveon hotel yogyakarta pada tanggal 6 desember
2022.
",bukan keduanya
657,hide," memberikan tugas kepada yang namanya tersebut dalam lampiran surat untuk
mengikuti/melakukan kegiatan kelengkapan pengisian dokumen portofolio oba/obe dari mata
kuliah tahun ajaran 2021/2022 program studi geofisika departemen fisika fakultas mipa ugm
yang dilaksanakan pada tanggal 19 november 2022.
",bukan keduanya
658,hide,,bukan keduanya
